concept,type,df_count,df_fraction,status
analysis,SURFACE,40,1.0,STOPLISTED
case,SURFACE,40,1.0,STOPLISTED
diagnosis,SURFACE,40,1.0,STOPLISTED
differential diagnoses,SURFACE,40,1.0,STOPLISTED
differential diagnosis,SURFACE,40,1.0,STOPLISTED
findings,SURFACE,40,1.0,STOPLISTED
json,SURFACE,40,1.0,STOPLISTED
patient,SURFACE,40,1.0,STOPLISTED
patient case,SURFACE,40,1.0,STOPLISTED
recommended tests,SURFACE,40,1.0,STOPLISTED
comprehensive,SURFACE,39,0.975,STOPLISTED
consensus,SURFACE,39,0.975,STOPLISTED
discussion,SURFACE,39,0.975,STOPLISTED
examination\,SURFACE,39,0.975,STOPLISTED
patient's,SURFACE,39,0.975,STOPLISTED
presentation\,SURFACE,39,0.975,STOPLISTED
{\n,SURFACE,39,0.975,STOPLISTED
diagnostic tests,SURFACE,38,0.95,STOPLISTED
tests,SURFACE,38,0.95,STOPLISTED
collaborative,SURFACE,37,0.925,STOPLISTED
potential,SURFACE,37,0.925,STOPLISTED
condition,SURFACE,36,0.9,STOPLISTED
contributions,SURFACE,36,0.9,STOPLISTED
evaluate,SURFACE,36,0.9,STOPLISTED
testing,SURFACE,36,0.9,STOPLISTED
conditions,SURFACE,35,0.875,KEPT
evaluation,SURFACE,35,0.875,KEPT
clinical presentation,SURFACE,34,0.85,KEPT
complex,SURFACE,34,0.85,KEPT
discussions,SURFACE,34,0.85,KEPT
associated with,SURFACE,33,0.825,KEPT
considerations,SURFACE,33,0.825,KEPT
doctor0,SURFACE,33,0.825,KEPT
presentation,SURFACE,33,0.825,KEPT
imaging,SURFACE,32,0.8,KEPT
assessment,SURFACE,31,0.775,KEPT
finalize,SURFACE,31,0.775,KEPT
information,SURFACE,31,0.775,KEPT
specialists,SURFACE,31,0.775,KEPT
symptoms,SURFACE,31,0.775,KEPT
absence,SURFACE,30,0.75,KEPT
age,SURFACE,29,0.725,KEPT
collaboration,SURFACE,29,0.725,KEPT
diagnostic approach,SURFACE,29,0.725,KEPT
doctor1,SURFACE,29,0.725,KEPT
evaluations,SURFACE,29,0.725,KEPT
management,SURFACE,29,0.725,KEPT
points,SURFACE,29,0.725,KEPT
assessments,SURFACE,28,0.7,KEPT
clarity,SURFACE,28,0.7,KEPT
genetic testing,SURFACE,28,0.7,KEPT
presence,SURFACE,28,0.7,KEPT
recommendations,SURFACE,27,0.675,KEPT
diagnoses,SURFACE,26,0.65,KEPT
let's,SURFACE,26,0.65,KEPT
monitoring,SURFACE,26,0.65,KEPT
results,SURFACE,26,0.65,KEPT
cases,SURFACE,25,0.625,KEPT
disagreement,SURFACE,25,0.625,KEPT
features,SURFACE,25,0.625,KEPT
insights,SURFACE,25,0.625,KEPT
investigation,SURFACE,25,0.625,KEPT
let,SURFACE,25,0.625,KEPT
mri,SURFACE,25,0.625,KEPT
refine,SURFACE,25,0.625,KEPT
thoughts,SURFACE,25,0.625,KEPT
history,SURFACE,24,0.6,KEPT
refining,SURFACE,24,0.6,KEPT
changes,SURFACE,23,0.575,KEPT
insightful,SURFACE,23,0.575,KEPT
involvement,SURFACE,23,0.575,KEPT
plan,SURFACE,23,0.575,KEPT
suggestions,SURFACE,23,0.575,KEPT
clinical picture,SURFACE,22,0.55,KEPT
differential,SURFACE,22,0.55,KEPT
doctors,SURFACE,22,0.55,KEPT
months,SURFACE,22,0.55,KEPT
relevant,SURFACE,22,0.55,KEPT
diagnostic,SURFACE,21,0.525,KEPT
diagnostic process,SURFACE,21,0.525,KEPT
essential,SURFACE,21,0.525,KEPT
follow-up,SURFACE,21,0.525,KEPT
presentations,SURFACE,21,0.525,KEPT
test,SURFACE,21,0.525,KEPT
**differential diagnoses**,SURFACE,20,0.5,KEPT
agreement,SURFACE,20,0.5,KEPT
alignment,SURFACE,20,0.5,KEPT
exploration,SURFACE,20,0.5,KEPT
family,SURFACE,20,0.5,KEPT
necessity,SURFACE,20,0.5,KEPT
appreciate,SURFACE,19,0.475,KEPT
atypical,SURFACE,19,0.475,KEPT
bilateral,SURFACE,19,0.475,KEPT
complexities,SURFACE,19,0.475,KEPT
examination,SURFACE,19,0.475,KEPT
impact,SURFACE,19,0.475,KEPT
inclusion,SURFACE,19,0.475,KEPT
likelihood,SURFACE,19,0.475,KEPT
moving forward,SURFACE,19,0.475,KEPT
robust,SURFACE,19,0.475,KEPT
years,SURFACE,19,0.475,KEPT
clinical,SURFACE,18,0.45,KEPT
complications,SURFACE,18,0.45,KEPT
confirmation,SURFACE,18,0.45,KEPT
emphasis,SURFACE,18,0.45,KEPT
severe,SURFACE,18,0.45,KEPT
approach,SURFACE,17,0.425,KEPT
challenges,SURFACE,17,0.425,KEPT
concerns,SURFACE,17,0.425,KEPT
confirming,SURFACE,17,0.425,KEPT
diagnostics,SURFACE,17,0.425,KEPT
effort,SURFACE,17,0.425,KEPT
family history,SURFACE,17,0.425,KEPT
genetic counseling,SURFACE,17,0.425,KEPT
genetic testing**,SURFACE,17,0.425,KEPT
hearing,SURFACE,17,0.425,KEPT
levels,SURFACE,17,0.425,KEPT
medical history,SURFACE,17,0.425,KEPT
perspectives,SURFACE,17,0.425,KEPT
prioritized,SURFACE,17,0.425,KEPT
systemic,SURFACE,17,0.425,KEPT
weeks,SURFACE,17,0.425,KEPT
characterized,SURFACE,16,0.4,KEPT
comments,SURFACE,16,0.4,KEPT
commitment,SURFACE,16,0.4,KEPT
diagnostic tests**,SURFACE,16,0.4,KEPT
evaluating,SURFACE,16,0.4,KEPT
genetic,SURFACE,16,0.4,KEPT
input,SURFACE,16,0.4,KEPT
investigate,SURFACE,16,0.4,KEPT
male,SURFACE,16,0.4,KEPT
patients,SURFACE,16,0.4,KEPT
suggestion,SURFACE,16,0.4,KEPT
test results,SURFACE,16,0.4,KEPT
abnormalities,SURFACE,15,0.375,KEPT
complexity,SURFACE,15,0.375,KEPT
data,SURFACE,15,0.375,KEPT
diagnostic strategy,SURFACE,15,0.375,KEPT
evidence,SURFACE,15,0.375,KEPT
investigations,SURFACE,15,0.375,KEPT
ongoing,SURFACE,15,0.375,KEPT
outcomes,SURFACE,15,0.375,KEPT
patterns,SURFACE,15,0.375,KEPT
relevance,SURFACE,15,0.375,KEPT
risks,SURFACE,15,0.375,KEPT
suspicion,SURFACE,15,0.375,KEPT
treatment,SURFACE,15,0.375,KEPT
assessing,SURFACE,14,0.35,KEPT
